Date,CPI,Unemployment Rate,10-year Treasury
2010-01-01,-0.160616984143418,9.8,3.85
2010-01-02,-0.15931961676416195,9.8,3.85
2010-01-03,-0.15802224938490592,9.8,3.85
2010-01-04,-0.1567248820056499,9.8,3.85
2010-01-05,-0.15542751462639387,9.8,3.77
2010-01-06,-0.15413014724713783,9.8,3.85
2010-01-07,-0.1528327798678818,9.8,3.85
2010-01-08,-0.15153541248862576,9.8,3.83
2010-01-09,-0.15023804510936972,9.8,3.83
2010-01-10,-0.1489406777301137,9.8,3.85
2010-01-11,-0.14764331035085768,9.8,3.85
2010-01-12,-0.14634594297160164,9.8,3.74
2010-01-13,-0.1450485755923456,9.8,3.8
2010-01-14,-0.14375120821308957,9.8,3.76
2010-01-15,-0.14245384083383356,9.8,3.7
2010-01-16,-0.14115647345457752,9.8,3.7
2010-01-17,-0.13985910607532148,9.8,3.715
2010-01-18,-0.13856173869606545,9.8,3.715
2010-01-19,-0.1372643713168094,9.8,3.73
2010-01-20,-0.13596700393755337,9.8,3.68
2010-01-21,-0.13466963655829736,9.8,3.62
2010-01-22,-0.13337226917904133,9.8,3.62
2010-01-23,-0.1320749017997853,9.8,3.62
2010-01-24,-0.13077753442052925,9.8,3.66
2010-01-25,-0.12948016704127321,9.8,3.66
2010-01-26,-0.12818279966201718,9.8,3.65
2010-01-27,-0.12688543228276117,9.8,3.66
2010-01-28,-0.12558806490350513,9.8,3.68
2010-01-29,-0.1242906975242491,9.8,3.63
2010-01-30,-0.12299333014499306,9.8,3.63
2010-01-31,-0.12169596276573703,9.8,3.68
2010-02-01,-0.120398595386481,9.8,3.68
2010-02-02,-0.11803494359966225,9.803571428571429,3.67
2010-02-03,-0.11567129181284351,9.807142857142857,3.73
2010-02-04,-0.11330764002602477,9.810714285714287,3.62
2010-02-05,-0.11094398823920602,9.814285714285715,3.59
2010-02-06,-0.10858033645238728,9.817857142857143,3.59
2010-02-07,-0.10621668466556854,9.821428571428573,3.62
2010-02-08,-0.1038530328787498,9.825000000000001,3.62
2010-02-09,-0.10148938109193106,9.82857142857143,3.67
2010-02-10,-0.09912572930511232,9.832142857142857,3.72
2010-02-11,-0.09676207751829358,9.835714285714285,3.73
2010-02-12,-0.09439842573147483,9.839285714285715,3.69
2010-02-13,-0.09203477394465609,9.842857142857143,3.69
2010-02-14,-0.08967112215783735,9.846428571428572,3.675
2010-02-15,-0.0873074703710186,9.850000000000001,3.675
2010-02-16,-0.08494381858419986,9.85357142857143,3.66
2010-02-17,-0.08258016679738112,9.857142857142858,3.74
2010-02-18,-0.08021651501056237,9.860714285714286,3.79
2010-02-19,-0.07785286322374363,9.864285714285714,3.78
2010-02-20,-0.07548921143692489,9.867857142857144,3.78
2010-02-21,-0.07312555965010614,9.871428571428572,3.8
2010-02-22,-0.0707619078632874,9.875,3.8
2010-02-23,-0.06839825607646866,9.87857142857143,3.69
2010-02-24,-0.06603460428964991,9.882142857142858,3.7
2010-02-25,-0.06367095250283117,9.885714285714286,3.64
2010-02-26,-0.06130730071601243,9.889285714285714,3.61
2010-02-27,-0.05894364892919369,9.892857142857142,3.61
2010-02-28,-0.05657999714237495,9.896428571428572,3.61
2010-03-01,-0.05421634535555621,9.9,3.61
2010-03-02,-0.052501913445493334,9.9,3.62
2010-03-03,-0.05078748153543047,9.9,3.63
2010-03-04,-0.049073049625367605,9.9,3.61
2010-03-05,-0.047358617715304745,9.9,3.69
2010-03-06,-0.04564418580524188,9.9,3.69
2010-03-07,-0.043929753895179016,9.9,3.72
2010-03-08,-0.04221532198511615,9.9,3.72
2010-03-09,-0.04050089007505328,9.9,3.71
2010-03-10,-0.03878645816499042,9.9,3.73
2010-03-11,-0.03707202625492756,9.9,3.73
2010-03-12,-0.03535759434486469,9.9,3.71
2010-03-13,-0.033643162434801824,9.9,3.71
2010-03-14,-0.03192873052473896,9.9,3.71
2010-03-15,-0.030214298614676095,9.9,3.71
2010-03-16,-0.02849986670461323,9.9,3.66
2010-03-17,-0.026785434794550367,9.9,3.65
2010-03-18,-0.025071002884487503,9.9,3.68
2010-03-19,-0.02335657097442464,9.9,3.7
2010-03-20,-0.02164213906436177,9.9,3.7
2010-03-21,-0.01992770715429891,9.9,3.67
2010-03-22,-0.018213275244236042,9.9,3.67
2010-03-23,-0.01649884333417318,9.9,3.69
2010-03-24,-0.014784411424110314,9.9,3.84
2010-03-25,-0.013069979514047446,9.9,3.91
2010-03-26,-0.011355547603984585,9.9,3.86
2010-03-27,-0.009641115693921717,9.9,3.86
2010-03-28,-0.007926683783858857,9.9,3.88
2010-03-29,-0.006212251873795989,9.9,3.88
2010-03-30,-0.004497819963733128,9.9,3.88
2010-03-31,-0.0027833880536702604,9.9,3.84
2010-04-01,-0.0010689561436073997,9.9,3.89
2010-04-02,-0.00015059446090250007,9.89,3.96
2010-04-03,0.0007677672218023999,9.88,3.96
2010-04-04,0.0016861289045073,9.870000000000001,4.01
2010-04-05,0.0026044905872122,9.86,4.01
2010-04-06,0.0035228522699171003,9.85,3.98
2010-04-07,0.004441213952622,9.84,3.89
2010-04-08,0.005359575635326901,9.83,3.91
2010-04-09,0.0062779373180318,9.82,3.9
2010-04-10,0.0071962990007367,9.81,3.9
